ChinID	CF_kHz	SpontRate	HearingStatus	thresh_dB	Q10local	TTR_dB	SusRate_g	OnRate_g	SusRate_d	OnRate_d
338	7.705316109	43.2	NH	34.6951181392394	3.52977976355708	25.8441387350248	73.3333333333333	195	122.666666666667	242.5
338	6.685104632	23.7333333333333	NH	38.5752837813678	2.4573858016856	NaN	45.3333333333333	102.5	68	305
338	6.469354636	0.7	NH	38.856926614103	2.81138979606032	NaN	34.6666666666667	45	65.3333333333333	250
338	1.996080393	40.5	NH	-14.6734817660219	3.88210056930432	NaN	198.666666666667	245	182.666666666667	240
338	5.435697359	9.5	NH	-10.8520144482037	5.95356823229181	NaN	111.111111111111	183.333333333333	128.888888888889	183.333333333333
338	5.495854974	76.2333333333333	NH	-0.278078927305783	11.9988670437348	NaN	94.1520467836257	134.68567251462	122.80701754386	192.068713450292
338	3.816539839	58.0666666666667	NH	-15.4222030771243	4.47359827144829	NaN	173.333333333333	232.5	182.666666666667	277.5
338	1.644947748	77.8333333333333	NH	2.7990627620301	5.10289899846736	NaN	114.666666666667	232.5	98.6666666666667	277.5
338	1.627583876	78.1333333333333	NH	25.0427241606469	2.69082649685886	NaN	98	119.6875	65.3333333333333	181.25
338	3.977131455	0.6	NH	51.4620582464228	2.06610302627897	NaN	1.85185185185185	6.94444444444444	3.7037037037037	20.8333333333333
341	4.309632294	84.8	NH	-11.992951249134	9.99806614001439	53.6294955987153	144	257.5	158.666666666667	335
341	3.977131455	86.8	NH	-12.3202478500813	8.97853205073127	NaN	150	274.305555555556	170.37037037037	295.138888888889
341	3.582678948	86.1	NH	3.71805646894375	5.1230245101476	NaN	113.333333333333	212.5	111.666666666667	293.75
341	4.395127191	11.5666666666667	NH	8.94372507262923	7.52563098218263	NaN	128	222.5	166.666666666667	315
341	4.568974493	25.1333333333333	NH	17.1157595255166	4.82241833445834	NaN	85.3333333333334	120	93.3333333333334	220
341	3.283889696	87.6	NH	-3.60970362757007	6.2614993347464	NaN	141.333333333333	205	172	305
341	1.456139686	43.9	NH	5.05989539154542	4.45141896158087	NaN	138.666666666667	135	104	265
341	9.991380628	9.73333333333333	NH	45.5398671987319	3.51885236538622	33.2311577231403	9.33333333333333	12.5	4	10
341	0.3890989803	0.933333333333333	NH	29.8067941468292	1.52506287634531	NaN	48	75	94.6666666666667	42.5
341	3.509759167	96.4333333333333	NH	33.2749031690619	3.47475117006791	NaN	101.333333333333	115	101.333333333333	185
341	5.020351289	9.33333333333333	NH	29.1051902765006	3.15526827893666	NaN	32	155	74.6666666666667	277.5
341	1.900059238	88.4	NH	29.8289882021333	2.21978091722533	22.2625738198796	100	180	82.6666666666667	207.5
341	5.113514577	94.3666666666667	NH	24.0875356907011	4.90994237063329	NaN	84	202.5	100	202.5
