UnitID	ChinID	CF_kHz	Threshold_dBSPL	Q10local	Q10global	TTR_dB	SpontRate	HearingStatus	StimSNR	RespCorr	RespCorrRaw	DR_SN	DR_N	DR_SNrelN
341_1_17	341	5.113514577	24.0875356907011	4.90994237063329	4.90994237063329	NaN	94.3666666666667	1	-5	0.001	-0.00142937224281768	90.6000000000001	91.2000000000001	1
341_1_17	341	5.113514577	24.0875356907011	4.90994237063329	4.90994237063329	NaN	94.3666666666667	1	0	0.00375109097554868	0.00375109097554868	100.2	94.8000000000001	5.40000000000001
341_1_18	341	3.659698553	20.0870519345621	3.62613640719271	3.6261364071927	NaN	79.8333333333333	1	-10	0.001	0.000973172924954337	83.6000000000001	81.0000000000001	2.59999999999999
341_1_18	341	3.659698553	20.0870519345621	3.62613640719271	3.6261364071927	NaN	79.8333333333333	1	-5	0.001	-0.00328505282773177	85.8695652173914	91.0235507246377	1
341_1_19	341	4.225087277	7.39975724539807	4.29099061563906	4.29099061563906	NaN	79.8666666666667	1	-10	0.00253297778480914	0.00253297778480914	108.4	105.6	2.8
341_1_19	341	4.225087277	7.39975724539807	4.29099061563906	4.29099061563906	NaN	79.8666666666667	1	-5	0.00895493052696289	0.00895493052696289	114.6	105.4	9.20000000000002
341_1_19	341	4.225087277	7.39975724539807	4.29099061563906	4.29099061563906	NaN	79.8666666666667	1	0	0.0111616821560022	0.0111616821560022	116	105.4	10.6
343_1_3	343	5.398813219	16.0073211970556	5.88431863267929	5.88431863267929	NaN	36.1666666666667	1	-5	0.00575946512505698	0.00575946512505698	136.052631578947	132.105263157895	3.9473684210526
343_1_4	343	5.398813219	14.2295434192779	6.08636378862841	6.08636378862842	NaN	27	1	-10	0.00622138931196561	0.00622138931196561	121.2	118.6	2.60000000000001
343_1_4	343	5.398813219	14.2295434192779	6.08636378862841	6.08636378862842	NaN	27	1	-5	0.00326889633282036	0.00326889633282036	102.8	101.2	1.60000000000002
343_1_4	343	5.398813219	14.2295434192779	6.08636378862841	6.08636378862842	NaN	27	1	0	0.00941603904588004	0.00941603904588004	121.4	117	4.40000000000002
343_1_5	343	4.602549087	9.66216035131478	6.53963063054057	6.53963063054057	NaN	23.5666666666667	1	-10	0.0163092208112133	0.0163092208112133	109	95.4000000000001	13.6
343_1_5	343	4.602549087	9.66216035131478	6.53963063054057	6.53963063054057	NaN	23.5666666666667	1	0	0.0207415881134409	0.0207415881134409	119.6	106	13.6
343_1_6	343	5.402310572	18.6289900186279	6.42179722527277	6.42179722527277	NaN	58.9666666666667	1	-10	0.001	-0.0014637314174656	103.2	102.8	1
343_1_6	343	5.402310572	18.6289900186279	6.42179722527277	6.42179722527277	NaN	58.9666666666667	1	-5	0.013276892447291	0.013276892447291	115.2	105.2	10
343_1_6	343	5.402310572	18.6289900186279	6.42179722527277	6.42179722527277	NaN	58.9666666666667	1	0	0.0103114554902011	0.0103114554902011	96.4000000000001	88.2000000000001	8.2
